Year,States,AgencyName,Population1,TotalOffenses,CrimesAgainstPersons,CrimesAgainstProperty,CrimesAgainstSociety,AssaultOffenses,AggravatedAssault,SimpleAssault,Intimidation,HomicideOffenses,MurderandNonnegligentManslaughter,NegligentManslaughter,JustifiableHomicide,HumanTraffickingOffenses,CommercialSexActs,InvoluntaryServitude,KidppingAbduction,SexOffenses,Rape,Sodomy,SexualAssaultWithanObject,Fondling,Incest,StatutoryRape,Arson,Bribery,BurglaryBreakingEntering,CounterfeitingForgery,DestructionDamageVandalismofProperty,Embezzlement,ExtortionBlackmail,FraudOffenses,FalsePretensesSwindleConfidence.Game,CreditCardAutomatedTellerMachineFraud,Impersotion,WelfareFraud,WireFraud,IdentityTheft,HackingComputerInvasion,LarcenyTheftOffenses,Pocketpicking,Pursestching,Shoplifting,TheftFromBuilding,TheftFromCoinOperatedMachineorDevice,TheftFromMotorVehicle,TheftofMotorVehiclePartsorAccessories,AllOtherLarceny,MotorVehicleTheft,Robbery,StolenPropertyOffenses,AnimalCruelty,DrugrcoticOffenses,DrugrcoticViolations,DrugEquipmentViolations,GamblingOffenses,BettingWagering,OperatingPromotingAssistingGambling,GamblingEquipmentViolations,SportsTampering,PornographyObsceneMaterial,ProstitutionOffenses,Prostitution,AssistingorPromotingProstitution,PurchasingProstitution,WeaponLawViolations
2020,Georgia,Abbeville,2654,9,2,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,South Carolina,Abbeville,4990,424,105,222,97,89,16,73,0,0,0,0,0,0,0,0,5,11,3,0,1,4,0,3,0,0,21,10,38,0,0,13,3,8,0,0,1,1,0,120,0,0,31,0,0,24,2,63,16,2,2,0,72,69,3,0,0,0,0,0,3,0,0,0,0,22
2021,Alabama,Abbeville,2539,364,86,113,165,85,3,39,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,33,0,0,12,4,3,2,0,0,3,0,40,0,0,5,4,0,3,2,26,5,0,8,0,150,106,44,0,0,0,0,0,0,0,0,0,0,15
2021,Louisiana,Abbeville,11898,807,322,348,137,300,91,201,8,3,2,1,0,0,0,0,10,9,2,0,0,6,0,1,0,1,37,11,36,1,1,8,5,2,1,0,0,0,0,199,0,0,76,2,0,9,0,112,30,6,18,0,100,76,24,0,0,0,0,0,3,0,0,0,0,34
2021,South Carolina,Abbeville,4932,337,114,172,51,110,31,78,1,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,19,6,45,0,0,8,2,5,0,0,0,1,0,77,0,0,16,0,0,7,10,44,11,3,3,1,28,28,0,0,0,0,0,0,1,0,0,0,0,21
2022,Alabama,Abbeville,2390,301,96,76,129,96,13,60,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,13,0,0,10,3,3,1,0,0,3,0,35,0,0,4,4,0,3,11,13,2,0,4,3,111,65,46,0,0,0,0,0,0,0,0,0,0,15
2022,Louisiana,Abbeville,10968,634,244,284,106,230,73,150,7,2,2,0,0,0,0,0,1,11,4,0,1,5,0,1,0,0,18,3,22,1,0,6,3,0,2,0,1,0,0,198,0,0,115,1,0,3,0,79,21,5,10,0,76,55,21,0,0,0,0,0,5,0,0,0,0,25
2022,South Carolina,Abbeville,4868,296,106,136,54,92,23,69,0,3,3,0,0,0,0,0,7,4,2,0,0,0,0,2,1,0,11,9,24,1,0,3,0,3,0,0,0,0,0,79,0,0,7,2,0,8,3,59,7,0,1,1,27,27,0,0,0,0,0,0,1,0,0,0,0,25
2020,Idaho,Aberdeen,1975,65,22,39,4,22,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,8,5,1,0,0,0,2,0,11,0,0,0,0,0,0,0,11,3,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1
2020,North Carolina,Aberdeen,8189,722,110,453,159,102,13,84,5,0,0,0,0,0,0,0,3,5,2,0,0,3,0,0,3,0,25,6,73,2,1,72,41,10,1,0,5,15,0,250,0,0,120,2,0,43,14,71,9,6,6,0,146,90,56,0,0,0,0,0,0,0,0,0,0,13
